Genre,Rating
Arts & Music & Photography,4.758333333333334
Bible Study & Reference,4.783333333333334
Biographies & Memoirs,4.7
Business & Money,4.75
Comics & Graphic Novels,4.75
Cookbooks & Food,4.8
Engineering,4.65
Fiction & Action & Adventure,4.564705882352941
Friendship & Social Skills & School Life,4.7
Health & Fitness & Dieting,4.716666666666667
History,4.7
Humor & Entertainment,4.7
Mystery & Thriller & Suspense,4.4
Parenting & Relationships,4.65
Politics & Social Sciences,4.642857142857143
Puzzles & Games,4.8
Reading & Writing,4.819047619047619
Schools & Teaching,4.75
Self-Improvement,4.68
